Group,Genus,Individual,Scientific name,Common name,AGEmax,DBHmax,Hmax,s,g,bulk,D_L,L_C,DEGDmin,DEGDoptimum,DEGDmax,l,d,f,n,fire,stress,old,evergreen,invader,seed,sprout,NDE,NDS,Species_code
15,Pinus',26,Pinus_longaeva',Great_Basin_bristlecone',5000,91,18,0.37,0.562,0.50,0.15,0.5,388,828,1268,5,1,6,1,2,2,1,1,0.01,1,0,0.56,0.93,PINUlong
15,Pinus',27,Pinus_strobiformis',Southwestern_white_pine',350,76,24,0.60,3.000,0.35,0.15,0.5,828,1551,2274,3,2,5,1,2,2,1,1,0.01,1,0,0.56,0.93,PINUstrob
15,Pinus',28,Pinus_edulis',Pinyon_pine',600,46,12,0.46,1.296,0.51,0.15,0.5,1323,2546,3769,5,1,6,1,2,2,1,1,0.01,1,0,0.56,0.93,PINUedul
15,Pinus',29,Pinus_monophylla',Singleleaf_pinyon',600,46,12,0.46,1.296,0.51,0.15,0.5,1323,2546,3769,5,1,6,1,2,2,1,1,0.01,1,0,0.56,0.93,PINUmono
15,Pinus',30,Pinus_clausa',Sand_pine',100,46,18,0.72,3.000,0.46,0.15,0.5,3634,5238,6842,5,1,6,1,2,2,1,1,0.01,1,0,0.56,0.93,PINUclau
15,Pinus',31,Pinus_torreyana',Torrey_pine',200,61,18,0.55,3.000,0.42,0.15,0.5,1630,2546,3461,5,1,6,1,2,2,1,1,0.01,1,0,0.56,0.93,PINUtorr
15,Pinus',32,Pinus_washoensis',Washoe_pine',400,91,30,0.63,3.000,0.42,0.15,0.5,388,1200,2012,4,2,5,1,2,2,1,1,0.01,1,0,0.56,0.93,PINUwash
15,Pinus',33,Pinus_balfouriana',Foxtail_pine',3000,91,21,0.43,0.888,0.47,0.15,0.5,388,828,1268,5,1,6,1,2,2,1,1,0.01,1,0,0.56,0.93,PINUbalf
16,Prunus',1,Prunus_serotina',Black_cherry',250,214,39,0.50,1.386,0.45,0.15,0.316,2148,4106,6064,4,5,5,3,4,5,1,0,0.1,10,1,0.1,0.31,PRUNsero
16,Prunus',2,Prunus_pensylvanica',Pin_cherry',40,30,12,0.71,3.000,0.36,0.15,0.316,388,1961,3533,5,3,5,1,4,5,1,0,1,100,1,0.10,0.31,PRUNpens
16,Prunus',3,Prunus_virginiana',Chokecherry',50,20,9,0.76,3.000,0.47,0.15,0.316,388,1961,3533,3,2,4,1,4,5,1,0,0.1,10,1,0.10,0.31,PRUNvirg
17,Quercus',1,Quercus_alba',White_oak',400,246,46,0.54,1.003,0.47,0.15,0.316,1630,3641,5651,3,2,5,1,2,2,1,0,0.1,10,1,0.1,0.31,QUERalba
17,Quercus',2,Quercus_coccinea',Scarlet_oak',400,147,30,0.54,0.666,0.6,0.15,0.316,2263,3483,4704,5,1,6,1,2,3,2,0,0.1,10,1,0.1,0.31,QUERcocc
17,Quercus',3,Quercus_falcata',Southern_red_oak',400,215,37,0.47,0.826,0.71,0.15,0.316,3052,4558,6064,5,2,6,1,2,2,2,0,0.1,10,1,0.1,0.31,QUERfalc
17,Quercus',4,Quercus_prinus',Chestnust_oak',267,183,30,0.45,1.005,0.57,0.15,0.316,2030,3161,4291,2,1,5,1,1,1,1,0,0.1,10,1,0.1,0.31,QUERprin
17,Quercus',5,Quercus_rubra',Northern_red_oak',300,214,46,0.58,1.332,0.57,0.15,0.316,388,2546,4704,2,1,5,1,2,2,1,0,0.1,10,1,0.1,0.31,QUERrubr
17,Quercus',6,Quercus_stellata',Post_oak',400,122,31,0.67,0.676,0.56,0.15,0.316,3052,4558,6064,5,1,6,1,1,2,2,0,0.1,10,1,0.1,0.31,QUERstel
17,Quercus',7,Quercus_velutina',Black_oak',300,214,42,0.53,1.224,0.56,0.15,0.316,1823,3531,5238,3,1,5,1,1,1,1,0,0.1,10,1,0.1,0.31,QUERvelu
17,Quercus',8,Quercus_bicolor',Swamp_white_oak',300,91,21,0.43,3.000,0.64,0.15,0.316,1323,2546,3769,3,3,1,2,1,1,1,0,0.01,10,1,0.10,0.31,QUERbico
17,Quercus',9,Quercus_imbricaria',Shingle_oak',300,91,21,0.43,3.000,0.56,0.15,0.316,2030,3634,5238,3,3,3,2,1,1,1,0,0.01,10,1,0.10,0.31,QUERimbr
17,Quercus',10,Quercus_laurifolia',Laurel_oak',150,91,30,0.63,3.000,0.56,0.15,0.316,3052,4558,6064,3,3,1,2,1,1,1,0,0.1,10,1,0.10,0.31,QUERlaur
17,Quercus',11,Quercus_lyrata',Overcup_oak',400,91,30,0.63,3.000,0.63,0.15,0.316,3052,4558,6064,3,4,1,2,1,1,1,0,0.01,10,1,0.10,0.31,QUERlyra
17,Quercus',12,Quercus_macrocarpa',Bur_oak',400,183,30,0.31,3.000,0.58,0.15,0.316,1323,3161,4999,3,1,2,1,1,1,1,0,0.1,10,1,0.10,0.31,QUERmacr
17,Quercus',13,Quercus_marilandica',Blackjack_oak',150,46,15,0.59,3.000,0.64,0.15,0.316,2263,3878,5493,5,1,6,1,1,1,1,0,0.01,10,1,0.10,0.31,QUERmari
